"route_id","service_id","trip_id","trip_headsign","direction_id","shape_id"
"271A-51","USD","271A-51-1","Cangaiba",1,53577
"271C-10","USD","271C-10-0","Term Princ Isabel",0,53799
"271F-10","USD","271F-10-0","Metrô Belém     ",0,52634
"271F-10","USD","271F-10-1","Shop. Center Norte",1,52635
"271M-10","USD","271M-10-0","Metrô Santana",0,53804
"271M-10","USD","271M-10-1","Pq. Novo Mundo",1,53805
"271P-10","USD","271P-10-0","Est. Da Luz",0,53578
"271P-10","USD","271P-10-1","Cangaiba",1,53579
"2720-10","USD","2720-10-0","Metrô Guilhermina",0,54015
"2720-10","USD","2720-10-1","Jd. Belem",1,54016
"2721-10","USD","2721-10-0","Metrô Itaquera",0,55380
"2721-10","USD","2721-10-1","Jd. Nazare",1,47254
"2722-10","USD","2722-10-0","Metrô Guilhermina",0,52934
"2722-10","USD","2722-10-1","Jd. Veronia",1,52935
"2723-10","USD","2723-10-0","Metrô Itaquera",0,55341
"2723-10","USD","2723-10-1","Uniao De Vila Nova",1,55342
"2724-10","USD","2724-10-0","Conj. Araucaria",0,54038
"2725-10","USD","2725-10-0","Metrô Artur Alvim",0,52920
"2725-10","USD","2725-10-1","Jd. Sao Carlos",1,52921
"2726-10","USD","2726-10-0","Metrô Penha",0,55514
"2726-10","USD","2726-10-1","Limoeiro",1,55515
"2727-10","USD","2727-10-0","Conj. A. E. Carvalho",0,52910
"2728-10","USD","2728-10-0","Metrô Penha",0,52431
"2728-10","USD","2728-10-1","Jd. Do Castelo",1,55344
"272N-10","USD","272N-10-0","Pq. D.pedro Ii",0,53863
"2730-10","USD","2730-10-0","Metrô Artur Alvim",0,52899
"2730-10","USD","2730-10-1","Vila Jacui",1,52900
"2731-10","USD","2731-10-0","Metrô Itaquera",0,55438
"2731-10","USD","2731-10-1","Vila Progresso",1,55376
"2732-10","USD","2732-10-0","Vila Regina (circular)",0,55383
"2733-10","USD","2733-10-0","Metrô Itaquera",0,55345
"2733-10","USD","2733-10-1","Pq. Guarani",1,52884
"2734-10","USD","2734-10-0","Metrô Itaquera",0,55350
"2734-10","USD","2734-10-1","Jd. Campos",1,53363
"2735-10","USD","2735-10-0","Metrô Penha",0,55524
"2735-10","USD","2735-10-1","Jd. Keralux",1,55525
